Price,Close,High,Low,Open,Volume
1/15/2020,75.04969788,76.05248268,74.61820946,75.17263768,121923600
1/16/2020,75.98981476,76.10070483,75.23049659,75.59207737,108829200
1/17/2020,76.83108521,76.83349074,75.93195183,76.23808752,137816400
1/21/2020,76.3104248,76.90100237,76.17302233,76.45987703,110843200
1/22/2020,76.58277893,77.13478672,76.48876444,76.79490005,101832400
1/23/2020,76.95161438,77.0311589,76.08863758,76.63583446,104472000
1/24/2020,76.72983551,77.93992295,76.53940095,77.19748048,146537600
1/27/2020,74.47360229,75.15336867,73.4925112,74.74116858,161940000
1/28/2020,76.58041382,76.75156003,75.25461737,75.35345035,162234000
1/29/2020,78.18339539,79.02949665,77.46987814,78.20991513,216229200
1/30/2020,78.07007599,78.12310811,76.83588198,77.26737025,126743200
1/31/2020,74.60856628,77.78324081,74.31448034,77.36139665,199588400
2/3/2020,74.40365601,75.56794245,72.85126917,73.35265776,173788400
2/4/2020,76.86003113,77.05046575,75.60172958,76.00669833,136616400
2/5/2020,77.48674774,78.28463524,76.88411324,77.98572352,118826800
2/6/2020,78.39311981,78.3955327,77.19990768,77.75674148,105425600
2/7/2020,77.3275528,78.14183107,76.83705241,77.89295664,117684000
2/10/2020,77.69480133,77.69480133,75.83428642,75.91401972,109348800
2/11/2020,77.22605896,78.26263625,77.0085971,78.19015142,94323200
2/12/2020,79.06000519,79.06483505,77.67548599,77.67548599,113730400
2/13/2020,78.49700928,78.82320574,78.12974054,78.33270543,94747600
2/14/2020,78.51635742,78.76523186,78.00894144,78.46561066,80113600
2/18/2020,77.07867432,77.25989377,76.01793291,76.19915236,152531200
2/19/2020,78.19499207,78.42453968,77.32030727,77.32030727,93984000
2/20/2020,77.39277649,78.44385068,76.88777922,77.95576899,100566000
2/21/2020,75.64099884,77.42903673,75.02485563,76.98685712,129554000
2/24/2020,72.04801178,73.49776723,69.88546432,71.82572007,222195200
2/25/2020,69.60759735,73.09909512,69.13643119,72.71732938,230673600
2/26/2020,70.71179962,71.9755054,69.2258022,69.23305068,198054800
2/27/2020,66.08952332,69.10501765,65.95421338,67.92105204,320605600
2/28/2020,66.05084229,67.27105732,61.94562124,62.16067179,426510000
3/2/2020,72.20025635,72.83573384,67.10436547,68.20617931,341397200
3/3/2020,69.90720367,73.45426994,69.05667583,73.37453664,319475600
3/4/2020,73.14984131,73.30931533,70.82781936,71.6276007,219178400
3/5/2020,70.77706146,72.37903498,70.412204,71.4052829,187572800
3/6/2020,69.83714294,70.26965543,67.95246362,68.13851293,226176800
3/9/2020,64.31356049,67.1937367,63.54760324,63.72882264,286744800
3/10/2020,68.94553375,69.21132372,65.08676782,66.96420579,285290000
3/11/2020,66.55102539,67.95004153,65.68841909,67.0246175,255598800
3/12/2020,59.97879028,65.23898665,59.92321736,61.84172741,418474000
3/13/2020,67.16475677,67.63593026,61.11927527,64.00429301,370732000
3/16/2020,58.52421188,62.60043602,57.99021701,58.46138679,322423600
3/17/2020,61.09753036,62.2452498,57.60361793,59.80483022,324056000
3/18/2020,59.60186386,60.4064786,57.29433564,57.93464653,300233600
3/19/2020,59.14518738,61.09269154,58.62085962,59.77583112,271857200
3/20/2020,55.39032364,60.84865193,55.09070619,59.72508927,401693200
3/23/2020,54.21360779,55.21152404,51.37208823,55.11004159,336752800
3/24/2020,59.65260696,59.84832336,56.61295252,57.11070131,287531200
3/25/2020,59.32398987,62.39988643,59.02920599,60.58769225,303602000
3/26/2020,62.44578552,62.50377337,59.5269448,59.56560582,252087200
3/27/2020,59.86040115,61.82481719,59.69367869,61.07094557,204216800
3/30/2020,61.56869507,61.74025108,60.26149806,60.58527957,167976400
3/31/2020,61.44304657,63.42437815,60.8897249,61.75957959,197002000
4/1/2020,58.21009827,60.09719601,57.78000445,59.5607862,176218400
4/2/2020,59.181427,59.23458499,57.24117142,58.07236506,165934000
4/3/2020,58.33090591,59.36747934,57.74133816,58.66676575,129880000
4/6/2020,63.41956329,63.57420007,60.2566805,60.62394929,201820400
4/7/2020,62.68501663,65.64977167,62.58111925,65.43230242,202887200
4/8/2020,64.28941345,64.60352421,63.11994483,63.48479497,168895200
4/9/2020,64.75331116,65.25589707,63.9583674,64.92487083,161834800
4/13/2020,66.02428436,66.13301898,64.23141675,64.8306517,131022800
4/14/2020,69.35871887,69.64867293,67.18408555,67.65525905,194994800
4/15/2020,68.72566986,69.18475771,67.80749416,68.23516946,131154400
4/16/2020,69.27172089,69.63657831,68.2230655,69.43844333,157125200
4/17/2020,68.33179474,69.33454802,66.89653645,68.78847118,215250000
4/20/2020,66.91344452,68.0611673,66.8941177,67.1599076,130015200
4/21/2020,64.84516144,66.99080127,64.13478048,66.75642378,180991600
4/22/2020,66.71291351,67.14783719,65.77057396,66.11126,116862400
4/23/2020,66.45437622,68.07810269,66.41571519,66.65734111,124814400
4/24/2020,68.37288666,68.38255376,66.93037962,66.97870776,126161200
4/27/2020,68.42121124,68.75223756,67.64317553,68.09017756,117087600
4/28/2020,67.31214142,69.06392923,67.22032977,68.8827098,112004800
4/29/2020,69.52303314,69.99178805,68.59519043,68.79815533,137280800
4/30/2020,70.98970032,71.16608991,69.67284333,70.06185757,183064000
5/1/2020,69.84680176,72.24614521,69.06876605,69.16541494,240616800
5/4/2020,70.83504486,70.96310628,69.1823247,69.87095995,133568000
5/5/2020,71.8981781,72.72937151,71.14913659,71.29411355,147751200
5/6/2020,72.63998413,73.27062409,72.21472025,72.59890449,142333600
5/7/2020,73.39144135,73.73697195,72.9637662,73.26579854,115215200
5/8/2020,75.13829803,75.19159993,73.72338371,74.05046319,133838400
5/11/2020,76.32064056,76.81488654,74.43811985,74.64648454,145946400
